Order ID,Consumer Type,Category,Sub Category,Amount,Quantity,Profit,Payment mode
KL-2018-5607135,Corporate,Office Supplies,Art,19,1,8,Credit card
KL-2018-5607136,Corporate,Furniture,Bookcases,822,2,353,Credit card
KL-2018-5607137,Corporate,Office Supplies,Art,19,1,4,UPI
KL-2018-5607138,Consumer,Office Supplies,Envelopes,50,4,24,UPI
KL-2018-5607139,Consumer,Technology,Machines,206,2,27,COD
KL-2018-5607140,Home Office,Office Supplies,Binders,26,5,-14,EMI
KL-2018-5607141,Home Office,Office Supplies,Storage,215,4,-220,EMI
KL-2018-5607142,Consumer,Office Supplies,Art,26,1,1,COD
KL-2018-5607143,Consumer,Office Supplies,Storage,9,1,2,Credit card
KL-2018-5607144,Consumer,Furniture,Bookcases,875,4,-577,UPI
KL-2018-5607145,Consumer,Furniture,Tables,273,3,-500,Credit card
KL-2018-5607146,Corporate,Furniture,Chairs,728,2,-82,Credit card
KL-2018-5607147,Corporate,Furniture,Furnishings,127,3,19,Credit card
KL-2018-5607148,Corporate,Furniture,Chairs,"4,544",11,1868,Credit card
KL-2018-5607149,Corporate,Office Supplies,Appliances,277,1,0,UPI
KL-2018-5607150,Corporate,Office Supplies,Art,90,6,32,UPI
KL-2018-5607151,Corporate,Technology,Phones,284,2,43,COD
KL-2018-5607152,Corporate,Office Supplies,Fasteners,35,3,14,EMI
KL-2018-5607153,Consumer,Office Supplies,Binders,24,4,8,EMI
KL-2018-5607154,Consumer,Technology,Machines,129,3,-2,COD
KL-2018-5607155,Consumer,Office Supplies,Fasteners,55,5,8,Credit card
KL-2018-5607156,Consumer,Office Supplies,Fasteners,62,7,23,UPI
KL-2018-5607157,Consumer,Furniture,Tables,"1,003",4,-943,Credit card
KL-2018-5607158,Consumer,Office Supplies,Art,164,3,78,Credit card
KL-2018-5607159,Consumer,Office Supplies,Storage,29,1,-13,Credit card
KL-2018-5607160,Consumer,Technology,Machines,30,1,-5,Credit card
KL-2018-5607161,Consumer,Office Supplies,Fasteners,21,2,6,UPI
KL-2018-5607162,Consumer,Office Supplies,Storage,32,3,8,UPI
KL-2018-5607163,Consumer,Furniture,Furnishings,103,2,30,COD
KL-2018-5607164,Consumer,Office Supplies,Binders,41,3,12,EMI
KL-2018-5607165,Consumer,Office Supplies,Binders,63,5,8,EMI
KL-2018-5607166,Consumer,Office Supplies,Binders,23,2,8,COD
KL-2018-5607167,Consumer,Technology,Machines,477,3,40,Credit card
KL-2018-5607168,Consumer,Office Supplies,Binders,10,2,2,UPI
KL-2018-5607169,Consumer,Technology,Phones,185,3,-93,Credit card
KL-2018-5607170,Corporate,Furniture,Chairs,47,2,-60,Credit card
KL-2018-5607171,Corporate,Furniture,Bookcases,"2,076",5,104,Credit card
KL-2018-5607172,Corporate,Office Supplies,Binders,309,6,77,Credit card
KL-2018-5607173,Corporate,Technology,Copiers,525,2,58,UPI
KL-2018-5607174,Consumer,Furniture,Furnishings,533,6,0,UPI
KL-2018-5607175,Consumer,Technology,Phones,120,3,-41,COD
KL-2018-5607176,Home Office,Office Supplies,Art,147,12,0,EMI
KL-2018-5607177,Home Office,Office Supplies,Storage,102,2,35,EMI
KL-2018-5607178,Home Office,Technology,Machines,47,1,13,COD
KL-2018-5607179,Consumer,Office Supplies,Art,107,4,30,Credit card
KL-2018-5607180,Corporate,Furniture,Bookcases,"1,314",3,342,UPI
KL-2018-5607181,Corporate,Furniture,Chairs,705,5,289,Credit card
KL-2018-5607182,Corporate,Office Supplies,Art,195,4,35,Credit card
KL-2018-5607183,Corporate,Office Supplies,Art,37,3,10,Credit card
KL-2018-5607184,Corporate,Technology,Accessories,151,2,-5,Credit card
KL-2018-5607185,Consumer,Office Supplies,Binders,18,2,3,UPI
KL-2018-5607186,Consumer,Office Supplies,Appliances,364,8,45,UPI
KL-2018-5607187,Consumer,Office Supplies,Storage,63,3,24,COD
KL-2018-5607188,Consumer,Office Supplies,Storage,118,3,37,EMI
KL-2018-5607189,Consumer,Office Supplies,Fasteners,58,3,29,EMI
KL-2018-5607190,Consumer,Office Supplies,Art,108,2,37,COD
KL-2018-5607191,Consumer,Office Supplies,Fasteners,117,7,15,Credit card
KL-2018-5607192,Consumer,Office Supplies,Art,97,3,37,UPI
KL-2018-5607193,Consumer,Office Supplies,Envelopes,94,2,21,Credit card
KL-2018-5607194,Consumer,Office Supplies,Storage,104,5,27,Credit card
KL-2018-5607195,Consumer,Technology,Copiers,126,1,59,Credit card
KL-2018-5607196,Home Office,Technology,Phones,520,3,203,Credit card
KL-2018-5607197,Consumer,Furniture,Chairs,74,2,-18,UPI
KL-2018-5607198,Corporate,Office Supplies,Fasteners,28,2,10,UPI
KL-2018-5607199,Corporate,Office Supplies,Binders,229,9,28,COD
KL-2018-5607200,Consumer,Office Supplies,Art,72,3,14,EMI
KL-2018-5607201,Consumer,Office Supplies,Art,195,4,91,EMI
KL-2018-5607202,Corporate,Office Supplies,Envelopes,167,4,7,COD
KL-2018-5607203,Corporate,Office Supplies,Storage,273,2,57,Credit card
KL-2018-5607204,Corporate,Technology,Accessories,220,1,49,UPI
KL-2018-5607205,Consumer,Office Supplies,Art,43,3,20,Credit card
KL-2018-5607206,Consumer,Office Supplies,Supplies,193,6,62,Credit card
KL-2018-5607207,Consumer,Office Supplies,Appliances,"3,070",6,1364,Credit card
KL-2018-5607208,Consumer,Office Supplies,Storage,230,2,20,Credit card
KL-2018-5607209,Corporate,Office Supplies,Labels,14,3,4,UPI
KL-2018-5607210,Consumer,Furniture,Chairs,254,3,73,UPI
KL-2018-5607211,Consumer,Office Supplies,Art,11,1,4,COD
KL-2018-5607212,Consumer,Office Supplies,Art,29,2,-2,EMI
KL-2018-5607213,Consumer,Office Supplies,Binders,48,4,19,EMI
KL-2018-5607214,Consumer,Office Supplies,Fasteners,24,2,8,COD
KL-2018-5607215,Corporate,Office Supplies,Supplies,83,2,10,Credit card
KL-2018-5607216,Corporate,Office Supplies,Labels,21,3,7,UPI
KL-2018-5607217,Corporate,Office Supplies,Storage,81,5,12,Credit card
KL-2018-5607218,Consumer,Office Supplies,Storage,178,4,28,Credit card
KL-2018-5607219,Home Office,Office Supplies,Fasteners,57,3,5,Credit card
KL-2018-5607220,Consumer,Furniture,Furnishings,132,3,9,Credit card
KL-2018-5607221,Consumer,Office Supplies,Storage,50,3,3,UPI
KL-2018-5607222,Consumer,Furniture,Bookcases,288,2,20,UPI
KL-2018-5607223,Consumer,Office Supplies,Labels,47,7,7,COD
KL-2018-5607224,Consumer,Office Supplies,Supplies,105,3,42,EMI
KL-2018-5607225,Consumer,Technology,Phones,82,2,14,EMI
KL-2018-5607226,Corporate,Office Supplies,Art,26,2,0,COD
KL-2018-5607227,Corporate,Technology,Machines,747,5,-90,Credit card
KL-2018-5607228,Consumer,Office Supplies,Binders,40,3,16,UPI
KL-2018-5607229,Consumer,Office Supplies,Paper,90,2,27,Credit card
KL-2018-5607230,Home Office,Furniture,Furnishings,770,7,85,Credit card
KL-2018-5607231,Home Office,Office Supplies,Paper,193,4,8,Credit card
KL-2018-5607232,Home Office,Office Supplies,Binders,453,9,27,Credit card
KL-2018-5607233,Home Office,Office Supplies,Binders,152,5,76,UPI
KL-2018-5607234,Home Office,Office Supplies,Storage,230,2,20,UPI
KL-2018-5607235,Home Office,Technology,Phones,246,2,3,COD
KL-2018-5607236,Home Office,Office Supplies,Art,15,2,-9,EMI
KL-2018-5607237,Home Office,Office Supplies,Fasteners,7,1,-4,EMI
KL-2018-5607238,Consumer,Office Supplies,Fasteners,99,5,45,COD
KL-2018-5607239,Home Office,Office Supplies,Art,149,3,36,Credit card
KL-2018-5607240,Consumer,Office Supplies,Labels,17,3,-12,UPI
KL-2018-5607241,Consumer,Technology,Phones,84,1,-55,Credit card
KL-2018-5607242,Consumer,Office Supplies,Storage,551,3,98,Credit card
KL-2018-5607243,Consumer,Office Supplies,Binders,92,3,26,Credit card
KL-2018-5607244,Corporate,Office Supplies,Fasteners,93,5,45,Credit card
KL-2018-5607245,Consumer,Office Supplies,Fasteners,22,3,-21,UPI
KL-2018-5607246,Consumer,Office Supplies,Storage,39,4,-59,UPI
KL-2018-5607247,Consumer,Furniture,Furnishings,170,4,27,COD
KL-2018-5607248,Consumer,Office Supplies,Supplies,38,2,3,EMI
KL-2018-5607249,Consumer,Technology,Phones,639,1,45,EMI
KL-2018-5607250,Home Office,Office Supplies,Labels,8,2,-6,COD
KL-2018-5607251,Corporate,Furniture,Chairs,729,5,-57,Credit card
KL-2018-5607252,Corporate,Office Supplies,Storage,51,5,-1,UPI
KL-2018-5607253,Corporate,Technology,Copiers,285,2,14,Credit card
KL-2018-5607254,Corporate,Technology,Phones,390,3,16,Credit card
KL-2018-5607255,Consumer,Furniture,Furnishings,110,2,37,Credit card
KL-2018-5607256,Consumer,Office Supplies,Art,21,2,9,Credit card
KL-2018-5607257,Consumer,Furniture,Bookcases,"2,624",6,446,UPI
KL-2018-5607258,Consumer,Office Supplies,Art,34,3,8,UPI
KL-2018-5607259,Consumer,Office Supplies,Storage,423,2,30,COD
KL-2018-5607260,Corporate,Furniture,Furnishings,40,2,-44,EMI
KL-2018-5607261,Consumer,Office Supplies,Art,158,3,69,EMI
KL-2018-5607262,Consumer,Office Supplies,Binders,296,6,32,COD
KL-2018-5607263,Consumer,Technology,Accessories,123,3,50,Credit card
KL-2018-5607264,Corporate,Technology,Phones,497,6,-290,UPI
KL-2018-5607265,Corporate,Office Supplies,Fasteners,86,5,33,Credit card
KL-2018-5607266,Consumer,Office Supplies,Art,51,2,14,Credit card
KL-2018-5607267,Consumer,Office Supplies,Labels,32,3,16,Credit card
KL-2018-5607268,Corporate,Furniture,Chairs,507,4,175,Credit card
KL-2018-5607269,Corporate,Office Supplies,Appliances,"1,889",7,483,UPI
KL-2018-5607270,Corporate,Office Supplies,Binders,498,10,139,UPI
KL-2018-5607271,Consumer,Office Supplies,Labels,15,2,1,COD
KL-2018-5607272,Consumer,Office Supplies,Paper,47,2,17,EMI
KL-2018-5607273,Consumer,Office Supplies,Appliances,584,7,234,EMI
KL-2018-5607274,Consumer,Office Supplies,Binders,53,4,2,COD
KL-2018-5607275,Consumer,Office Supplies,Supplies,81,3,19,Credit card
KL-2018-5607276,Corporate,Office Supplies,Appliances,538,7,221,UPI
KL-2018-5607277,Corporate,Office Supplies,Art,119,9,38,Credit card
KL-2018-5607278,Corporate,Office Supplies,Envelopes,48,2,6,Credit card
KL-2018-5607279,Corporate,Office Supplies,Storage,413,8,184,Credit card
KL-2018-5607280,Corporate,Office Supplies,Storage,80,3,1,Credit card
KL-2018-5607281,Corporate,Office Supplies,Art,205,8,-127,UPI
KL-2018-5607282,Corporate,Office Supplies,Envelopes,17,2,-5,UPI
KL-2018-5607283,Consumer,Furniture,Furnishings,257,5,74,COD
KL-2018-5607284,Consumer,Office Supplies,Art,44,2,8,EMI
KL-2018-5607285,Consumer,Office Supplies,Labels,64,9,25,EMI
KL-2018-5607286,Consumer,Technology,Copiers,785,3,86,COD
KL-2018-5607287,Consumer,Technology,Phones,306,2,9,Credit card
KL-2018-5607288,Consumer,Technology,Accessories,294,7,109,UPI
KL-2018-5607289,Home Office,Furniture,Chairs,66,1,19,Credit card
KL-2018-5607290,Home Office,Office Supplies,Art,54,3,4,Credit card
KL-2018-5607291,Home Office,Office Supplies,Art,97,4,39,Credit card
KL-2018-5607292,Home Office,Office Supplies,Binders,21,2,5,Credit card
KL-2018-5607293,Home Office,Office Supplies,Binders,24,2,1,UPI
KL-2018-5607294,Corporate,Technology,Phones,73,2,-12,UPI
KL-2018-5607295,Consumer,Office Supplies,Art,169,7,32,COD
KL-2018-5607296,Consumer,Technology,Machines,625,2,6,EMI
KL-2018-5607297,Consumer,Office Supplies,Storage,576,5,51,EMI
KL-2018-5607298,Corporate,Office Supplies,Art,36,2,12,COD
KL-2018-5607299,Corporate,Office Supplies,Paper,17,2,-7,Credit card
KL-2018-5607300,Corporate,Office Supplies,Art,57,3,14,UPI
KL-2018-5607301,Corporate,Office Supplies,Binders,24,2,1,Credit card
KL-2018-5607302,Corporate,Office Supplies,Fasteners,39,2,18,Credit card
KL-2018-5607303,Corporate,Office Supplies,Paper,242,5,10,Credit card
KL-2018-5607304,Corporate,Office Supplies,Storage,475,4,-238,Credit card
KL-2018-5607305,Corporate,Office Supplies,Storage,58,4,-37,UPI
KL-2018-5607306,Corporate,Technology,Accessories,312,12,12,UPI
KL-2018-5607307,Corporate,Office Supplies,Binders,31,5,1,COD
KL-2018-5607308,Corporate,Office Supplies,Labels,65,6,32,EMI
KL-2018-5607309,Corporate,Office Supplies,Storage,48,2,7,EMI
KL-2018-5607310,Corporate,Office Supplies,Supplies,81,5,24,COD
KL-2018-5607311,Corporate,Technology,Machines,"2,017",9,0,Credit card
KL-2018-5607312,Consumer,Office Supplies,Art,83,3,12,UPI
KL-2018-5607313,Consumer,Office Supplies,Binders,13,1,2,Credit card
KL-2018-5607314,Consumer,Office Supplies,Storage,360,3,32,Credit card
KL-2018-5607315,Consumer,Office Supplies,Art,66,3,12,Credit card
KL-2018-5607316,Consumer,Office Supplies,Labels,26,3,12,Credit card
KL-2018-5607317,Consumer,Office Supplies,Paper,186,4,89,UPI
KL-2018-5607318,Consumer,Technology,Phones,693,5,229,UPI
KL-2018-5607319,Consumer,Technology,Phones,238,7,0,COD
KL-2018-5607320,Consumer,Office Supplies,Binders,39,6,10,EMI
KL-2018-5607321,Consumer,Technology,Phones,444,4,89,EMI
KL-2018-5607322,Corporate,Office Supplies,Labels,18,2,3,COD
KL-2018-5607323,Corporate,Technology,Phones,645,5,76,Credit card
KL-2018-5607324,Consumer,Office Supplies,Art,39,3,-19,UPI
KL-2018-5607325,Consumer,Office Supplies,Storage,159,6,65,Credit card
KL-2018-5607326,Corporate,Office Supplies,Supplies,176,4,65,Credit card
KL-2018-5607327,Consumer,Technology,Phones,684,11,-24,Credit card
KL-2018-5607328,Corporate,Furniture,Chairs,45,2,-34,Credit card
KL-2018-5607329,Corporate,Furniture,Bookcases,719,5,21,UPI
KL-2018-5607330,Corporate,Office Supplies,Appliances,334,4,133,UPI
KL-2018-5607331,Consumer,Furniture,Chairs,"1,713",4,552,COD
KL-2018-5607332,Consumer,Furniture,Chairs,808,7,251,EMI
KL-2018-5607333,Consumer,Office Supplies,Binders,5,1,2,EMI
KL-2018-5607334,Consumer,Office Supplies,Labels,31,3,6,COD
KL-2018-5607335,Consumer,Office Supplies,Storage,218,5,7,Credit card
KL-2018-5607336,Corporate,Office Supplies,Envelopes,53,5,-36,UPI
KL-2018-5607337,Consumer,Office Supplies,Art,124,5,40,Credit card
KL-2018-5607338,Consumer,Office Supplies,Binders,120,9,4,Credit card
KL-2018-5607339,Consumer,Office Supplies,Fasteners,25,2,5,Credit card
KL-2018-5607340,Consumer,Office Supplies,Binders,16,1,0,Credit card
KL-2018-5607341,Consumer,Office Supplies,Labels,15,2,1,UPI
KL-2018-5607342,Consumer,Office Supplies,Storage,37,4,8,UPI
KL-2018-5607343,Consumer,Office Supplies,Binders,145,3,17,COD
KL-2018-5607344,Corporate,Office Supplies,Art,93,2,44,EMI
KL-2018-5607345,Corporate,Office Supplies,Supplies,66,3,14,EMI
KL-2018-5607346,Consumer,Office Supplies,Art,29,1,12,COD
KL-2018-5607347,Consumer,Office Supplies,Art,161,3,40,Credit card
KL-2018-5607348,Consumer,Office Supplies,Appliances,"1,389",5,154,UPI
KL-2018-5607349,Consumer,Technology,Machines,162,2,73,Credit card
KL-2018-5607350,Corporate,Office Supplies,Storage,534,3,232,Credit card
KL-2018-5607351,Corporate,Technology,Machines,99,2,29,Credit card
KL-2018-5607352,Corporate,Technology,Phones,533,7,112,Credit card
KL-2018-5607353,Home Office,Furniture,Furnishings,112,5,4,UPI
KL-2018-5607354,Home Office,Office Supplies,Labels,26,3,10,UPI
KL-2018-5607355,Consumer,Technology,Machines,"1,413",5,503,COD
KL-2018-5607356,Consumer,Office Supplies,Art,99,2,33,EMI
KL-2018-5607357,Consumer,Technology,Copiers,379,2,27,EMI
KL-2018-5607358,Home Office,Office Supplies,Labels,35,4,11,COD
KL-2018-5607359,Home Office,Technology,Phones,65,1,3,Credit card
KL-2018-5607360,Corporate,Furniture,Bookcases,"1,113",3,260,UPI
KL-2018-5607361,Corporate,Office Supplies,Art,55,2,4,Credit card
KL-2018-5607362,Corporate,Office Supplies,Art,31,3,14,Credit card
KL-2018-5607363,Corporate,Technology,Copiers,382,2,53,Credit card
KL-2018-5607364,Corporate,Technology,Copiers,"1,047",4,524,Credit card
KL-2018-5607365,Home Office,Furniture,Furnishings,311,6,87,UPI
KL-2018-5607366,Home Office,Office Supplies,Art,107,4,30,UPI
KL-2018-5607367,Home Office,Office Supplies,Art,89,3,31,COD
KL-2018-5607368,Home Office,Office Supplies,Envelopes,70,3,4,EMI
KL-2018-5607369,Home Office,Office Supplies,Paper,56,2,17,EMI
KL-2018-5607370,Home Office,Office Supplies,Storage,53,3,3,COD
KL-2018-5607371,Consumer,Office Supplies,Fasteners,34,3,0,Credit card
KL-2018-5607372,Consumer,Office Supplies,Envelopes,82,2,20,UPI
KL-2018-5607373,Consumer,Technology,Phones,224,2,35,Credit card
KL-2018-5607374,Home Office,Office Supplies,Binders,171,7,-48,Credit card
KL-2018-5607375,Consumer,Office Supplies,Art,26,2,-8,Credit card
KL-2018-5607376,Corporate,Furniture,Furnishings,170,3,-82,Credit card
KL-2018-5607377,Consumer,Office Supplies,Art,51,3,18,UPI
KL-2018-5607378,Consumer,Technology,Machines,220,3,70,UPI
KL-2018-5607379,Consumer,Technology,Machines,72,1,17,COD
KL-2018-5607380,Consumer,Furniture,Furnishings,92,3,8,EMI
KL-2018-5607381,Consumer,Office Supplies,Art,200,8,12,EMI
KL-2018-5607382,Corporate,Technology,Machines,470,2,-31,COD
KL-2018-5607383,Corporate,Office Supplies,Art,44,3,-32,Credit card
KL-2018-5607384,Corporate,Office Supplies,Paper,39,4,-17,UPI
KL-2018-5607385,Corporate,Office Supplies,Storage,610,6,-232,Credit card
KL-2018-5607386,Consumer,Furniture,Bookcases,197,2,-24,Credit card
KL-2018-5607387,Consumer,Office Supplies,Appliances,56,2,-8,Credit card
KL-2018-5607388,Consumer,Office Supplies,Fasteners,41,5,-2,Credit card
KL-2018-5607389,Consumer,Office Supplies,Storage,19,4,-7,UPI
KL-2018-5607390,Consumer,Office Supplies,Storage,40,4,-36,UPI
KL-2018-5607391,Consumer,Office Supplies,Storage,212,3,-140,COD
KL-2018-5607392,Consumer,Office Supplies,Supplies,35,2,-19,EMI
KL-2018-5607393,Corporate,Office Supplies,Paper,53,4,-18,EMI
KL-2018-5607394,Home Office,Furniture,Tables,627,2,-135,COD
KL-2018-5607395,Corporate,Office Supplies,Art,109,2,52,Credit card
KL-2018-5607396,Corporate,Technology,Accessories,"1,025",4,400,UPI
KL-2018-5607397,Home Office,Office Supplies,Art,139,3,36,Credit card
KL-2018-5607398,Consumer,Technology,Phones,194,3,73,Credit card
KL-2018-5607399,Consumer,Office Supplies,Appliances,115,3,-39,Credit card
KL-2018-5607400,Consumer,Office Supplies,Binders,35,3,8,Credit card
KL-2018-5607401,Consumer,Office Supplies,Paper,62,2,14,UPI
KL-2018-5607402,Consumer,Technology,Phones,78,2,-47,UPI
KL-2018-5607403,Home Office,Office Supplies,Art,510,11,132,COD
KL-2018-5607404,Home Office,Office Supplies,Envelopes,94,5,16,EMI
KL-2018-5607405,Corporate,Office Supplies,Fasteners,51,3,-1,EMI
KL-2018-5607406,Consumer,Furniture,Chairs,"1,059",6,106,COD
KL-2018-5607407,Consumer,Furniture,Furnishings,87,2,27,Credit card
KL-2018-5607408,Consumer,Office Supplies,Storage,965,7,125,UPI
KL-2018-5607409,Consumer,Office Supplies,Storage,43,3,-20,Credit card
KL-2018-5607410,Corporate,Office Supplies,Art,457,9,59,Credit card
KL-2018-5607411,Corporate,Office Supplies,Paper,238,8,86,Credit card
KL-2018-5607412,Corporate,Office Supplies,Paper,15,1,0,Credit card
KL-2018-5607413,Home Office,Office Supplies,Supplies,139,4,0,UPI
KL-2018-5607414,Corporate,Office Supplies,Binders,24,4,1,UPI
KL-2018-5607415,Corporate,Office Supplies,Binders,47,7,4,COD
